범죄대분류,범죄중분류,시도,세부지역,지역원본,발생건수
강력범죄,살인기수,서울,,서울,47
강력범죄,살인미수등,서울,,서울,76
강력범죄,강도,서울,,서울,122
강력범죄,강간,서울,,서울,1134
강력범죄,유사강간,서울,,서울,180
강력범죄,강제추행,서울,,서울,3553
강력범죄,기타강간강제추행등,서울,,서울,39
강력범죄,방화,서울,,서울,186
절도범죄,절도범죄,서울,,서울,33529
폭력범죄,상해,서울,,서울,3153
폭력범죄,폭행,서울,,서울,23324
폭력범죄,체포감금,서울,,서울,233
폭력범죄,협박,서울,,서울,3806
폭력범죄,약취유인,서울,,서울,54
폭력범죄,폭력행위등,서울,,서울,932
폭력범죄,공갈,서울,,서울,881
폭력범죄,손괴,서울,,서울,9365
지능범죄,직무유기,서울,,서울,221
지능범죄,직권남용,서울,,서울,238
지능범죄,증수뢰,서울,,서울,50
지능범죄,통화,서울,,서울,125
지능범죄,문서인장,서울,,서울,1925
지능범죄,유가증권인지,서울,,서울,26
지능범죄,사기,서울,,서울,48352
지능범죄,횡령,서울,,서울,13188
지능범죄,배임,서울,,서울,713
풍속범죄,성풍속범죄,서울,,서울,4180
풍속범죄,도박범죄,서울,,서울,885
특별경제범죄,특별경제범죄,서울,,서울,8877
마약범죄,마약범죄,서울,,서울,2275
보건범죄,보건범죄,서울,,서울,4573
환경범죄,환경범죄,서울,,서울,30
교통범죄,교통범죄,서울,,서울,43206
노동범죄,노동범죄,서울,,서울,78
안보범죄,안보범죄,서울,,서울,98
선거범죄,선거범죄,서울,,서울,129
병역범죄,병역범죄,서울,,서울,308
기타범죄,기타범죄,서울,,서울,42198
강력범죄,살인기수,부산,,부산,15
강력범죄,살인미수등,부산,,부산,30
강력범죄,강도,부산,,부산,51
강력범죄,강간,부산,,부산,321
강력범죄,유사강간,부산,,부산,55
강력범죄,강제추행,부산,,부산,936
강력범죄,기타강간강제추행등,부산,,부산,19
강력범죄,방화,부산,,부산,54
절도범죄,절도범죄,부산,,부산,12667
폭력범죄,상해,부산,,부산,2652
폭력범죄,폭행,부산,,부산,7711
폭력범죄,체포감금,부산,,부산,65
폭력범죄,협박,부산,,부산,1374
폭력범죄,약취유인,부산,,부산,12
폭력범죄,폭력행위등,부산,,부산,483
폭력범죄,공갈,부산,,부산,326
폭력범죄,손괴,부산,,부산,3506
지능범죄,직무유기,부산,,부산,108
지능범죄,직권남용,부산,,부산,103
지능범죄,증수뢰,부산,,부산,18
지능범죄,통화,부산,,부산,22
지능범죄,문서인장,부산,,부산,818
지능범죄,유가증권인지,부산,,부산,3
지능범죄,사기,부산,,부산,25516
지능범죄,횡령,부산,,부산,3426
지능범죄,배임,부산,,부산,235
풍속범죄,성풍속범죄,부산,,부산,1135
풍속범죄,도박범죄,부산,,부산,493
특별경제범죄,특별경제범죄,부산,,부산,3193
마약범죄,마약범죄,부산,,부산,585
보건범죄,보건범죄,부산,,부산,2214
환경범죄,환경범죄,부산,,부산,312
교통범죄,교통범죄,부산,,부산,16160
노동범죄,노동범죄,부산,,부산,12
안보범죄,안보범죄,부산,,부산,5
선거범죄,선거범죄,부산,,부산,31
병역범죄,병역범죄,부산,,부산,86
기타범죄,기타범죄,부산,,부산,20985
강력범죄,살인기수,대구,,대구,11
강력범죄,살인미수등,대구,,대구,13
강력범죄,강도,대구,,대구,23
강력범죄,강간,대구,,대구,220
강력범죄,유사강간,대구,,대구,33
강력범죄,강제추행,대구,,대구,560
강력범죄,기타강간강제추행등,대구,,대구,11
강력범죄,방화,대구,,대구,54
절도범죄,절도범죄,대구,,대구,9306
폭력범죄,상해,대구,,대구,1687
폭력범죄,폭행,대구,,대구,5361
폭력범죄,체포감금,대구,,대구,40
폭력범죄,협박,대구,,대구,895
폭력범죄,약취유인,대구,,대구,4
